tm,mosquito_value_house,mosquito_value_park,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50,날짜,수온,pH,용존산소(㎎/L),총질소(㎎/L),총인(㎎/L),총유기탄소
20200531,44.2,63.7,108,2.3,2012,32,5.7,1901,34,8.6,1857,21.2,28.0,1332,17.6,523,13.3,25.7,13.8,63.0,39.0,1337,15.4,5.9,4.1,-9.0,1001.4,1011.3,1015.4,6,1008.6,1526,8.5,5.0,14.6,-9.0,19.15,3.39,1100,1.0,1.4,1.92,1.0,2245,0.3,2305,-9.0,-9,-9.0,-9,-9.0,-9,20.3,17.7,16.4,14.0,13.5,2020-05-31,23.934027777777786,7.1194444444444445,5.592708333333333,6.362361111111111,0.1300173611111111,8.535069444444444
20200601,48.9,70.4,108,3.4,2974,29,6.2,1239,32,12.3,1205,19.7,24.5,1603,16.6,528,12.0,26.6,13.0,64.3,37.0,1609,14.2,8.4,5.9,-9.0,999.7,1009.6,1010.5,8,1008.5,1525,3.8,11.5,14.6,-9.0,30.35,3.78,1200,0.4,-9.0,3.75,0.3,-2345,0.3,-2357,-9.0,-9,-9.0,-9,-9.0,-9,20.5,18.0,16.5,14.1,13.5,2020-06-01,24.032070707070705,7.143939393939394,5.693939393939394,6.509722222222222,0.1298863636363636,7.8381313131313135
20200602,45.3,65.3,108,2.2,1889,25,4.1,1629,16,9.1,1340,17.9,21.8,1526,14.8,449,12.3,18.3,9.9,71.0,43.0,1526,14.4,2.9,2.0,-9.0,997.4,1007.3,1011.3,1102,1004.7,1705,9.3,0.2,14.6,-9.0,5.89,1.63,1300,2.0,2.0,1.83,1.9,1055,0.8,1129,-9.0,-9,-9.0,-9,-9.0,-9,20.8,18.2,16.7,14.1,13.5,2020-06-02,21.583845029239768,7.118932748538012,5.266301169590643,6.504875000000001,0.1287916666666666,6.272306763285024
20200603,41.9,60.4,108,2.4,2061,29,5.6,2005,29,8.8,1948,22.0,28.4,1516,17.6,546,16.6,27.1,14.6,73.3,47.0,1609,18.8,6.5,4.5,-9.0,993.9,1003.7,1005.7,45,1000.6,1650,5.8,9.5,14.6,-9.0,24.64,3.64,1200,-9.0,0.2,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,20.0,18.4,16.8,14.2,13.5,2020-06-03,23.66919191919192,7.172979797979799,5.6186868686868685,6.742222222222222,0.1142140151515151,4.698358585858586
20200604,38.1,55.0,108,2.7,2334,27,4.7,1429,25,7.7,1416,21.9,26.5,1401,19.7,2358,18.2,26.8,17.9,81.1,57.0,1323,21.0,5.3,3.7,-9.0,994.1,1003.9,1006.6,2339,1002.6,1358,8.4,4.7,14.6,-9.0,19.77,3.32,1200,0.2,0.0,6.75,0.1,-9,0.1,-9,-9.0,-9,-9.0,-9,-9.0,-9,20.7,18.4,17.0,14.2,13.5,2020-06-04,24.93024691358025,7.188425925925927,5.588888888888889,6.588912037037037,0.1152083333333333,4.590277777777778
20200605,47.8,68.9,108,1.8,1593,29,3.8,1845,32,6.7,1826,23.0,28.7,1529,18.4,443,16.6,29.8,15.0,69.4,45.0,1533,18.8,6.8,4.7,-9.0,997.2,1007.0,1008.3,2305,1005.1,1632,5.5,8.8,14.7,-9.0,23.36,3.0,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,21.3,18.6,17.1,14.3,13.5,2020-06-05,25.543055555555554,7.176388888888888,5.456944444444445,6.550069444444444,0.1141666666666666,4.8278209109730845
20200606,47.1,67.9,108,2.0,1685,29,4.4,1730,29,7.8,1646,24.6,30.9,1543,19.2,541,16.8,31.4,14.9,63.6,38.0,1551,19.1,6.7,4.7,-9.0,998.1,1007.9,1010.0,2348,1005.9,1546,2.3,8.6,14.7,-9.0,23.38,3.13,1100,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,21.7,18.9,17.3,14.3,13.6,2020-06-06,25.884722222222223,7.19861111111111,5.461111111111111,6.213055555555556,0.1172916666666666,5.006944444444445
20200607,49.7,71.7,108,2.3,1991,20,5.1,1110,18,7.3,1105,22.7,29.2,1545,19.2,318,16.5,30.2,16.3,69.4,44.0,1457,18.8,7.5,5.3,-9.0,1001.9,1011.7,1013.2,2355,1009.8,1532,3.3,9.2,14.7,-9.0,26.04,3.52,1100,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,22.1,19.1,17.4,14.4,13.6,2020-06-07,26.105555555555554,7.226388888888889,5.559722222222223,6.443888888888888,0.1245138888888888,7.2
20200608,55.7,80.3,108,2.1,1831,29,5.5,1824,29,8.8,1759,25.0,32.0,1529,19.8,101,17.0,32.7,17.2,63.6,40.0,1446,19.4,8.5,5.9,-9.0,1004.6,1014.4,1016.2,2234,1012.6,1526,3.0,11.3,14.7,-9.0,26.13,3.28,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,22.6,19.4,17.6,14.4,13.6,2020-06-08,26.80050505050505,7.239267676767677,5.635732323232323,6.194993686868688,0.1167361111111111,6.718357487922705
20200609,49.9,71.9,108,2.3,1965,29,4.3,1538,34,7.9,1622,26.7,32.8,1502,20.3,558,15.4,34.1,15.8,51.6,34.0,1423,17.5,9.3,6.5,-9.0,1004.3,1014.0,1015.9,528,1012.2,1646,3.0,12.9,14.7,-9.0,28.36,3.5,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,23.0,19.7,17.8,14.5,13.6,2020-06-09,27.143650793650792,7.236507936507936,5.470436507936508,5.519821428571428,0.1191468253968253,4.74404761904762
20200610,55.2,79.5,108,2.0,1750,34,6.2,1747,27,9.8,1755,25.8,32.1,1356,22.5,548,17.7,32.8,17.4,63.8,41.0,1153,20.5,5.8,4.1,-9.0,998.9,1008.6,1013.4,1,1005.3,1805,9.0,5.2,14.7,-9.0,18.85,2.86,1100,6.2,6.2,6.58,2.9,2019,0.6,1935,-9.0,-9,-9.0,-9,-9.0,-9,23.4,20.0,18.0,14.6,13.6,2020-06-10,26.77083333333333,7.158333333333334,5.166666666666666,6.386736111111111,0.1584722222222222,5.245833333333334
20200611,60.3,86.9,108,2.2,1935,29,4.6,2022,27,7.2,2022,26.1,31.6,1620,21.7,511,19.2,30.1,19.3,68.3,38.0,1528,22.2,8.3,5.8,-9.0,993.7,1003.3,1005.4,114,1000.8,1645,5.8,8.0,14.7,-9.0,26.03,3.72,1200,0.0,-9.0,0.42,0.1,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,23.5,20.3,18.2,14.6,13.6,2020-06-11,27.38457142857143,7.137333333333333,4.655809523809524,6.311190476190475,0.2291142857142857,6.792888888888889
20200612,57.6,82.9,108,1.7,1467,32,3.0,424,34,4.7,424,24.7,27.6,1421,21.6,525,18.4,25.8,16.8,68.6,49.0,1403,21.1,4.1,2.9,-9.0,995.1,1004.8,1005.7,1033,1003.7,318,8.1,0.5,14.7,-9.0,11.51,1.4,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,23.9,20.5,18.4,14.7,13.6,2020-06-12,25.967521367521368,7.152991452991453,5.47863247863248,5.256709401709402,0.1197435897435897,5.010737550737551
